,minuteOfDay,Close
0,1,168.36
1,2,168.815
2,3,168.68
3,4,167.88
4,5,168.7
5,6,169.13
6,7,168.98
7,8,169.0984
8,9,168.62
9,10,169.01
10,11,168.995
11,12,169.2919
12,13,168.9508
13,14,168.79
14,15,169.0301
15,16,169.18
16,17,169.0
17,18,169.4801
18,19,169.375
19,20,169.59
20,21,169.72
21,22,169.8
22,23,169.92
23,24,169.4684
24,25,169.58
25,26,169.77
26,27,169.75
27,28,169.798
28,29,169.51
29,30,169.5701
30,31,169.7
31,32,169.7
32,33,169.77
33,34,169.42
34,35,169.58
35,36,169.06
36,37,169.13
37,38,169.17
38,39,169.46
39,40,169.6
40,41,169.42
41,42,169.24
42,43,169.34
43,44,169.14
44,45,169.31
45,46,169.36
46,47,169.38
47,48,169.31
48,49,169.5
49,50,169.45
50,51,169.54
51,52,169.51
52,53,169.53
53,54,169.56
54,55,169.94
55,56,169.69
56,57,169.63
57,58,169.709
58,59,169.57
59,60,169.38
60,61,169.39
61,62,169.38
62,63,169.34
63,64,169.31
64,65,169.34
65,66,169.32
66,67,169.26
67,68,169.33
68,69,169.35
69,70,169.08
70,71,169.022
71,72,169.08
72,73,169.0501
73,74,168.95
74,75,169.03
75,76,168.92
76,77,169.0251
77,78,169.05
78,1,169.67
79,2,170.15
80,3,170.09
81,4,170.21
82,5,170.1
83,6,169.99
84,7,169.74
85,8,169.07
86,9,169.2514
87,10,169.2882
88,11,169.65
89,12,169.61
90,13,170.0206
91,14,169.97
92,15,169.9142
93,16,169.7903
94,17,169.52
95,18,169.73
96,19,169.57
97,20,169.26
98,21,169.44
99,22,169.19
100,23,169.26
101,24,169.36
102,25,169.3683
103,26,169.5625
104,27,169.45
105,28,169.42
106,29,169.597
107,30,169.76
108,31,169.641
109,32,169.7969
110,33,169.96
111,34,169.89
112,35,169.82
113,36,169.74
114,37,169.78
115,38,169.7694
116,39,169.79
117,40,169.835
118,41,169.87
119,42,169.94
120,43,169.7924
121,44,169.942
122,45,170.03
123,46,170.05
124,47,170.0657
125,48,170.1695
126,49,170.265
127,50,170.395
128,51,170.3159
129,52,169.65
130,53,169.59
131,54,169.77
132,55,169.9101
133,56,169.795
134,57,169.83
135,58,169.89
136,59,169.66
137,60,169.46
138,61,169.21
139,62,169.17
140,63,169.259
141,64,169.55
142,65,169.52
143,66,169.47
144,67,169.63
145,68,169.5101
146,69,169.47
147,70,169.53
148,71,169.61
149,72,169.63
150,73,169.6687
151,74,169.715
152,75,169.65
153,76,169.62
154,77,169.49
155,78,169.452
156,1,170.9
157,2,170.2
158,3,170.51
159,4,170.2
160,5,170.23
161,6,170.099
162,7,169.968
163,8,170.065
164,9,170.5099
165,10,170.27
166,11,170.15
167,12,170.19
168,13,170.105
169,14,169.9801
170,15,170.03
171,16,170.1728
172,17,170.0601
173,18,170.2158
174,19,170.2365
175,20,170.28
176,21,170.16
177,22,170.2
178,23,170.08
179,24,169.87
180,25,169.69
181,26,169.98
182,27,169.94
183,28,169.9459
184,29,169.93
185,30,169.9
186,31,169.76
187,32,169.82
188,33,169.95
189,34,169.95
190,35,169.9577
191,36,169.985
192,37,169.97
193,38,169.9
194,39,170.0299
195,40,169.9955
196,41,169.965
197,42,169.905
198,43,169.92
199,44,169.92
200,45,169.8984
201,46,169.995
202,47,169.96
203,48,169.9138
204,49,169.9142
205,50,169.9
206,51,169.87
207,52,169.82
208,53,169.75
209,54,169.865
210,55,169.8
211,56,169.74
212,57,169.59
213,58,169.37
214,59,169.17
215,60,169.41
216,61,169.16
217,62,169.23
218,63,169.2305
219,64,169.37
220,65,169.35
221,66,169.37
222,67,169.4001
223,68,169.42
224,69,169.3644
225,70,169.2701
226,71,169.26
227,72,169.3
228,73,169.095
229,74,169.0599
230,75,169.0733
231,76,168.92
232,77,169.01
233,78,169.37
234,1,169.28
235,2,170.02
236,3,169.68
